id,category_slug,category_name,item_slug,name,english_name,price
2,breakfast,صبحانه,new-mexico,نیو مکزیکو,New Mexico,430000
3,breakfast,صبحانه,sunny-turkey,سانی ترکی,Sunny Turkey,590000
4,breakfast,صبحانه,sweet-savory,سوییت ساووری,Sweet & Savory,590000
5,breakfast,صبحانه,avo-supreme,آوو سوپریم,Avo Supreme,740000
6,breakfast,صبحانه,hash-brown,هش براون,Hash Brown,590000
7,breakfast,صبحانه,hot-pot-haricot,هات پات لوبیا,Hot Pot Haricot,430000
8,breakfast,صبحانه,egg-brisket,اگ بریسکت,Egg Brisket,1260000
9,breakfast,صبحانه,heaven-plate,هون پلیت,Heaven Plate,740000
10,iranian-breakfast,صبحانه ایرانی,fried-egg,نیمرو,Fried Egg,390000
11,iranian-breakfast,صبحانه ایرانی,omelet,املت,Omelet,390000
12,iranian-breakfast,صبحانه ایرانی,sausage-omelet,املت ساسیج,Sausage Omelet,490000
13,iranian-breakfast,صبحانه ایرانی,sausage-fried-egg,نیمرو ساسیج,Sausage Omelette,490000
14,iranian-breakfast,صبحانه ایرانی,egg-fried-ghormeh,نیمرو قرمه,Egg Fried with Ghormeh,1260000
15,hot-coffee,قهوه‌های گرم,cinnamon-latte,لاته سینامون,Cinnamon Latte,350000
16,hot-coffee,قهوه‌های گرم,espresso,اسپرسو,Espresso,220000
17,hot-coffee,قهوه‌های گرم,americano,آمریکانو,Americano,220000
18,hot-coffee,قهوه‌های گرم,cortado,کورتادو,Cortado,265000
19,hot-coffee,قهوه‌های گرم,cappuccino,کاپوچینو,Cappuccino,310000
20,hot-coffee,قهوه‌های گرم,latte,لاته,Latte,325000
21,hot-coffee,قهوه‌های گرم,popcorn-latte,لاته پاپکورن,Popcorn Latte,340000
22,hot-coffee,قهوه‌های گرم,mocha,موکا,Mocha,365000
23,hot-coffee,قهوه‌های گرم,cream-mocha,موکا با خامه,Cream Mocha,375000
24,cold-coffee,قهوه‌های سرد,cinnamon-ice-latte,آیس لاته سینامون,Cinnamon Ice Latte,350000
25,cold-coffee,قهوه‌های سرد,tonic-espresso,تونیک اسپرسو,Tonic Espresso,330000
26,cold-coffee,قهوه‌های سرد,didi-wine-brew,دی‌دی واین برو,DIDI Wine Brew,360000
27,cold-coffee,قهوه‌های سرد,affogato,آفوگاتو,Affogato,375000
28,cold-coffee,قهوه‌های سرد,irish-ice-latte,آیس لاته آیریش,Irish Ice Latte,345000
29,cold-coffee,قهوه‌های سرد,caramel-ice-latte,آیس لاته کارامل,Caramel Ice Latte,345000
30,cold-coffee,قهوه‌های سرد,ice-mocha,آیس موکا,Ice Mocha,365000
31,cold-coffee,قهوه‌های سرد,coco-ice-latte,آیس لاته نارگیل,Coco Ice Latte,355000
32,cold-coffee,قهوه‌های سرد,ice-latte,آیس لاته,Ice Latte,325000
33,cold-coffee,قهوه‌های سرد,ice-americano,آیس آمریکانو,Ice Americano,220000
34,hot-drinks,نوشیدنی‌های گرم,ice-chocolate,آیس چاکلت,Ice Chocolate,305000
35,hot-drinks,نوشیدنی‌های گرم,masala-tea,چای ماسالا,Masala Tea,295000
36,hot-drinks,نوشیدنی‌های گرم,karak-tea,چای کرک,Karak Tea,295000
37,hot-drinks,نوشیدنی‌های گرم,mint-chocolate,هات چاکلت نعنایی,Mint Chocolate,310000
38,hot-drinks,نوشیدنی‌های گرم,hot-chocolate,هات چاکلت,Hot Chocolate,305000
39,tea-herbal,چای و دمنوش,black-tea,چای سیاه,Black Tea,160000
40,tea-herbal,چای و دمنوش,saffron-tea,چای زعفران,Saffron Tea,195000
41,tea-herbal,چای و دمنوش,eternal-herbal-tea,دمنوش جاودانه,Eternal Herbal Tea,225000
42,tea-herbal,چای و دمنوش,charming-herbal-tea,دمنوش دلبرانه,Charming Herbal Tea,235000
43,tea-herbal,چای و دمنوش,asheghaneh-herbal-tea,دمنوش عاشقانه,Asheghaneh Herbal Tea,235000
44,tea-herbal,چای و دمنوش,shokraneh-herbal-tea,دمنوش شکرانه,Shokraneh Herbal Tea,235000
45,tea-herbal,چای و دمنوش,shahaneh-herbal-tea,دمنوش شاهانه,Shahaneh Herbal Tea,240000
46,tea-herbal,چای و دمنوش,jananeh-herbal-tea,دمنوش جانانه,Jananeh Herbal Tea,220000
47,mocktails,ماکتیل‌ها,pina-colada,پیناکولادا,Pina Colada,295000
48,mocktails,ماکتیل‌ها,bloody,بلادی,Bloody,340000
